code,product_name_en,brands,brands_tags,quantity,serving_size,categories_tags,labels,labels_tags,countries_tags,origins,origins_tags,manufacturing_places,emb_codes,allergens,allergens_tags,traces,traces_tags,energy-kcal_unit,energy-kcal_value,no_nutrition_data,nutrition_data_per,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,sugars_value,carbohydrates_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts
0070470200156,Cultured Creme,haagen dazs,haagen-dazs,,1 container (113 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:brand-name",No gluten,en:no-gluten,en:united-states,,,,,Milk,en:milk,,,kcal,190.0,,serving,11.0,g,7.0,g,20.0,17.0,g,4.0,g,0.1375,g,0.055,g,795.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",d,11.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0851035003326,Frozen greek yogurt bars,yasso,yasso,,1 bar (65 g),"en:desserts,en:frozen-foods,en:frozen-desserts",,,en:united-states,,,,,"Milk, Soybeans","en:milk,en:soybeans",,,kcal,100.1,,serving,2.002,g,1.502,g,16.003,13.0,g,4.9985,g,0.1495,g,0.0598,g,419.0,kJ,,,c,4.0,,unknown,No,No,No,No,No,No
0818290014665,"Mixed Berry Greek Yogurt, Blended",chobani,chobani,,1 CONTAINER (150 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts",,,en:united-states,,,,,Milk,en:milk,,,kcal,93.333333333333,,100g,1.6666666666667,g,1.0,g,11.333333333333,9.3333333333333,g,7.3333333333333,g,0.125,g,0.05,g,93.333333333333,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
8718166007635,Protein Mango Pouch Yogurt,arla,arla,200 g,1 serving (100 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,"en:finland,en:united-states",,,,,,,,,kcal,71.0,,serving,0.6,g,0.4,g,5.5,5.2,g,10.0,g,0.11,g,0.044,g,297.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-4.0,67.0,b,No,No,No,No,No,No
0818290010735,S’more s’mores flip greek yogurt,chobani,chobani,128g,1 pot (128 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts","Aromas naturales, Manteca de cacao pura","en:natural-flavors,en:pure-cocoa-butter",en:united-states,,,,,"Gluten, Leche","en:gluten,en:milk",,,kcal,150.0,,serving,3.5,g,2.0,g,21.0,19.0,g,9.0,g,0.1625,g,0.065,g,628.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,1.0,57.0,c,No,No,No,No,No,No
0818562022350,Probiotic Yogurt Gummy,happy days,happy-days,,1.0 pouch (18.0 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,"Gelatin, Milk","en:gelatin,en:milk",,,kcal,60.0,,serving,0.0,g,,,15.0,11.0,g,1.0,g,0.0125,g,0.005,g,60.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",d,14.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0016000223691,Yogurt toppers,nature valley,nature-valley,,0g,en:snacks,,,en:united-states,,,,,"Nuts, Soybeans","en:nuts,en:soybeans",,,,,,100g,,,,,,,,,,,,,,,,,,c,7.0,,unknown,No,No,No,No,No,No
0818290013859,Layered Greek Yogurt Raspberry Lemonade,"chobani,  chobani  llc","chobani,chobani-llc",,1 container (150 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts",,,en:united-states,,,,,Milk,en:milk,,,kcal,130.0,,serving,2.5,g,1.5,g,16.0,15.0,g,11.0,g,0.125,g,0.05,g,544.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0078742050416,Greek nonfat yogurt,wal-mart stores  inc.,wal-mart-stores-inc,,1 portion (150 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",No gluten,en:no-gluten,en:united-states,,,,,,,,,kcal,130.0,,serving,0.0,g,0.0,g,21.0,19.0,g,12.0,g,0.1375,g,0.055,g,544.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0818290019387,Greek yogurt drink Strawberry,chobani,chobani,,7.0 oz (198.4465 g),en:dairies,,,en:united-states,,,,,,,,,kcal,150.0,,serving,3.5,g,2.5,g,18.0,16.0,g,10.0,g,0.2125,g,0.085,g,150.0,kcal,,,a,-1.0,,unknown,No,No,No,No,No,No
0036632019622,Oikos Triple Zero Greek Yogurt Mixed Berry 4pk,dannon,dannon,,150 g,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts","No gluten, No GMOs, Non GMO project","en:no-gluten,en:no-gmos,en:non-gmo-project",en:united-states,,,,,,,,,kcal,90.0,,serving,0.0,g,0.0,g,7.0,5.0,g,15.0,g,0.15,g,0.06,g,377.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-5.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
