code,product_name_en,brands,serving_size,categories_tags,labels,allergens_tags,traces,energy-kcal_value,fat_value_per_100g,saturated_fat_value_per_100g,carbohydrates_value_per_g,sugars_value,proteins_value_per_100g,energy_value,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts,label,salt_value_in_grams,sodium_value_in_grams,apple,banana,beef,eggs,fish,gelatin,gluten,milk,no_traces,nuts,orange,peach,peanuts,sesame-seeds,soybeans,sulphur-dioxide-and-sulphites
0818290014665,"Mixed Berry Greek Yogurt, Blended",chobani,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts,greek-style-yogurts",,milk,no traces,93.33,1.67,1.0,11.33,9.33,7.33,93.33,"milk-and-dairy-products,milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.12,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0041303026434,"Strawberry blended lowfat yogurt, strawberry",essential everyday,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,82.0,1.18,0.59,15.29,10.59,3.53,82.0,"milk-and-dairy-products,milk-and-yogurt",b,1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.14,0.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0052159701253,Organic Kids' Strawberry Banana Yogurt,stonyfield,99.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts","Organic, No GMOs, USDA Organic, Non GMO project",no_traces,no traces,101.0,2.02,1.01,15.15,13.13,5.05,101.0,"milk-and-dairy-products,milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,"Organic, No GMOs, USDA Organic, Non GMO project",0.2,0.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0860149001791,"Vanilla plant-based yogurt, vanilla",lavva,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,93.0,7.33,4.67,6.0,4.0,1.33,93.0,"milk-and-dairy-products,milk-and-yogurt",c,4.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.11,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0852614006509,Organic Cultured Coconut Vanilla Chamomile yogurt,cocojune,114.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts","Organic, USDA Organic",no_traces,no traces,197.0,17.0,15.0,9.0,6.0,2.0,197.0,"milk-and-dairy-products,milk-and-yogurt",d,11.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,"Organic, USDA Organic",0.03,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0041303026458,"Blueberry blended lowfat yogurt, blueberry",Not Known Brand,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,82.0,1.18,0.59,15.29,10.59,3.53,82.0,"milk-and-dairy-products,milk-and-yogurt",b,1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.14,0.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0053600000284,"La yogurt, probiotic sabor latino blended lowfat yogurt, papaya",la yogurt,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,112.0,0.88,0.59,21.76,18.82,4.12,112.0,"milk-and-dairy-products,milk-and-yogurt",c,3.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.16,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0053600000420,"La yogurt, probiotic lowfat yogurt, strawberry kiwi",la yogurt,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,112.0,0.88,0.59,21.76,19.41,4.12,112.0,"milk-and-dairy-products,milk-and-yogurt",c,3.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.14,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0036632001047,Lowfat yogurt,dannon,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts","No GMOs, Non GMO project",no_traces,no traces,87.0,1.0,0.67,16.67,14.67,3.33,87.0,"milk-and-dairy-products,milk-and-yogurt",b,2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,"No GMOs, Non GMO project",0.16,0.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0815909020451,"Lemon finest yoghurt, lemon",Not Known Brand,127.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",Kosher,milk,no traces,134.0,6.3,3.54,16.54,15.75,5.51,134.0,"milk-and-dairy-products,milk-and-yogurt",c,4.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,Kosher,0.13,0.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
